filename, language, TypeScript, Less, HTML, comment, blank, total
student-management\formal-student-table\formal-student-table.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
student-management\formal-student-table\formal-student-table.component.ts, TypeScript, 130, 0, 0, 0, 20, 150
student-management\informal-student-table\informal-student-table.component.html, HTML, 0, 0, 38, 0, 2, 40
student-management\informal-student-table\informal-student-table.component.less, Less, 0, 22, 0, 0, 3, 25
student-management\informal-student-table\informal-student-table.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
student-management\informal-student-table\informal-student-table.component.ts, TypeScript, 26, 0, 0, 0, 11, 37
student-management\student-exit-record\student-exit-record.component.html, HTML, 0, 0, 40, 0, 2, 42
student-management\student-exit-record\student-exit-record.component.less, Less, 0, 22, 0, 0, 3, 25
student-management\student-exit-record\student-exit-record.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
student-management\student-exit-record\student-exit-record.component.ts, TypeScript, 56, 0, 0, 0, 12, 68
student-management\student-involve-record\student-involve-record.component.html, HTML, 0, 0, 40, 0, 2, 42
student-management\student-involve-record\student-involve-record.component.less, Less, 0, 22, 0, 0, 3, 25
student-management\student-involve-record\student-involve-record.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
student-management\student-involve-record\student-involve-record.component.ts, TypeScript, 56, 0, 0, 0, 12, 68
student-management\student-management-tab\student-management-tab.component.html, HTML, 0, 0, 14, 0, 1, 15
student-management\student-management-tab\student-management-tab.component.less, Less, 0, 0, 0, 0, 1, 1
student-management\student-management-tab\student-management-tab.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
student-management\student-management-tab\student-management-tab.component.ts, TypeScript, 11, 0, 0, 0, 5, 16
student-management\student-management.component.html, HTML, 0, 0, 14, 0, 1, 15
student-management\student-management.component.less, Less, 0, 18, 0, 0, 1, 19
student-management\student-management.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
student-management\student-management.component.ts, TypeScript, 18, 0, 0, 0, 8, 26
teacher-management\teacher-management.component.html, HTML, 0, 0, 27, 0, 1, 28
teacher-management\teacher-management.component.less, Less, 0, 72, 0, 0, 8, 80
teacher-management\teacher-management.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
teacher-management\teacher-management.component.ts, TypeScript, 27, 0, 0, 0, 10, 37
teaching-plan-management\teaching-plan-management.component.html, HTML, 0, 0, 52, 0, 1, 53
teaching-plan-management\teaching-plan-management.component.less, Less, 0, 17, 0, 0, 3, 20
teaching-plan-management\teaching-plan-management.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
teaching-plan-management\teaching-plan-management.component.ts, TypeScript, 76, 0, 0, 0, 16, 92
test-paper\test-paper-create\test-paper-create.component.html, HTML, 0, 0, 104, 0, 2, 106
test-paper\test-paper-create\test-paper-create.component.less, Less, 0, 81, 0, 0, 24, 105
test-paper\test-paper-create\test-paper-create.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
test-paper\test-paper-create\test-paper-create.component.ts, TypeScript, 65, 0, 0, 0, 12, 77
test-paper\test-paper.component.html, HTML, 0, 0, 46, 0, 2, 48
test-paper\test-paper.component.less, Less, 0, 26, 0, 0, 6, 32
test-paper\test-paper.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
test-paper\test-paper.component.ts, TypeScript, 21, 0, 0, 0, 8, 29
Total, -, 2715, 1020, 1582, 49, 813, 6179
